CLOCK_PERIOD_NS,MONT_CONDSUB_UNROLL,MONT_INIT_UNROLL,MONT_INNER_UNROLL,MONT_NWORDS,MONT_TARGET_II,MONT_TOTAL_BITS,MONT_WORD_BITS,bram,cios_depth,cios_final_ii,clk_ns,dsp,ff,fmax_mhz,ii_max,ii_min,ii_violation,label,last_depth,last_final_ii,lat_abs_ns,lat_max,lat_min,lut,ok,pipelined_loops,timing_ok
10,0,0,0,16,0,256,16,0,,,2.936,4,1579,340.6,859,859,False,T256_W16_N16_IU0_CS0_IN0_II0_CLK10,1,1,2519.1,858,858,1876,True,"PP_LOOP,RED_LOOP,SUB_LOOP,SEL_LOOP",True
10,0,0,0,16,4,256,16,0,,,2.936,4,1579,340.6,859,859,False,T256_W16_N16_IU0_CS0_IN0_II4_CLK10,1,1,2519.1,858,858,1876,True,"PP_LOOP,RED_LOOP,SUB_LOOP,SEL_LOOP",True
10,0,0,0,16,2,256,16,0,,,2.936,4,1579,340.6,859,859,False,T256_W16_N16_IU0_CS0_IN0_II2_CLK10,1,1,2519.1,858,858,1876,True,"PP_LOOP,RED_LOOP,SUB_LOOP,SEL_LOOP",True
10,0,1,0,16,0,256,16,0,,,2.936,4,1579,340.6,859,859,False,T256_W16_N16_IU0_CS0_IN1_II0_CLK10,1,1,2519.1,858,858,1876,True,"PP_LOOP,RED_LOOP,SUB_LOOP,SEL_LOOP",True
10,1,0,0,16,2,256,16,0,,,7.154,4,1822,139.8,835,835,False,T256_W16_N16_IU0_CS1_IN0_II2_CLK10,5,1,5966.4,834,834,2666,True,"PP_LOOP,RED_LOOP",True
10,1,0,0,16,0,256,16,0,,,7.154,4,1822,139.8,835,835,False,T256_W16_N16_IU0_CS1_IN0_II0_CLK10,5,1,5966.4,834,834,2666,True,"PP_LOOP,RED_LOOP",True
10,0,1,0,16,2,256,16,0,,,2.936,4,1579,340.6,859,859,False,T256_W16_N16_IU0_CS0_IN1_II2_CLK10,1,1,2519.1,858,858,1876,True,"PP_LOOP,RED_LOOP,SUB_LOOP,SEL_LOOP",True
10,0,1,0,16,4,256,16,0,,,2.936,4,1579,340.6,859,859,False,T256_W16_N16_IU0_CS0_IN1_II4_CLK10,1,1,2519.1,858,858,1876,True,"PP_LOOP,RED_LOOP,SUB_LOOP,SEL_LOOP",True
10,1,0,0,16,4,256,16,0,,,7.154,4,1822,139.8,835,835,False,T256_W16_N16_IU0_CS1_IN0_II4_CLK10,5,1,5966.4,834,834,2666,True,"PP_LOOP,RED_LOOP",True
10,1,1,0,16,0,256,16,0,,,7.154,4,1822,139.8,835,835,False,T256_W16_N16_IU0_CS1_IN1_II0_CLK10,5,1,5966.4,834,834,2666,True,"PP_LOOP,RED_LOOP",True
10,1,1,0,16,4,256,16,0,,,7.154,4,1822,139.8,835,835,False,T256_W16_N16_IU0_CS1_IN1_II4_CLK10,5,1,5966.4,834,834,2666,True,"PP_LOOP,RED_LOOP",True
10,1,1,0,16,2,256,16,0,,,7.154,4,1822,139.8,835,835,False,T256_W16_N16_IU0_CS1_IN1_II2_CLK10,5,1,5966.4,834,834,2666,True,"PP_LOOP,RED_LOOP",True
10,0,0,4,16,0,256,16,0,23,5,3.581,33,2144,279.3,150,150,True,T256_W16_N16_IU4_CS0_IN0_II0_CLK10,1,1,533.6,149,149,1877,True,"CIOS_LOOP,SUB_LOOP,SEL_LOOP",True
